Disease,Remedy
Potato___Early_blight,Apply fungicides such as chlorothalonil or mancozeb; practice crop rotation and remove infected plant debris.
Corn_(maize)___Common_rust_,Use resistant hybrids; apply fungicides like azoxystrobin if necessary.
Tomato___Target_Spot,Implement crop rotation; apply fungicides such as copper-based products.
Orange___Haunglongbing_(Citrus_greening),Remove and destroy infected trees; control Asian citrus psyllid vectors.
Apple___Cedar_apple_rust,Apply fungicides like myclobutanil; remove nearby juniper hosts.
Squash___Powdery_mildew,Apply sulfur or potassium bicarbonate-based fungicides; ensure good air circulation.
Cherry_(including_sour)___Powdery_mildew,Use fungicides such as trifloxystrobin; prune for better air flow.
Potato___Late_blight,Apply fungicides like metalaxyl; use certified disease-free tubers.
Tomato___Bacterial_spot,Use copper-based bactericides; plant resistant varieties.
"Pepper,_bell___Bacterial_spot",Apply copper-based bactericides; use disease-free seeds.
Potato___healthy,"Plant is healthy, no remedy required."
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,Rotate crops; apply fungicides like pyraclostrobin.
Cherry_(including_sour)___healthy,"Plant is healthy, no remedy required."
Grape___Esca_(Black_Measles),Prune and destroy infected wood; avoid vine stress.
Apple___Black_rot,Remove and destroy infected fruit and leaves; apply captan fungicide.
Corn_(maize)___Northern_Leaf_Blight,Plant resistant hybrids; apply fungicides such as propiconazole.
Tomato___Early_blight,Use fungicides like chlorothalonil; practice crop rotation.
Soybean___healthy,"Plant is healthy, no remedy required."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Control whitefly vectors; use resistant tomato varieties.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Apply fungicides like mancozeb; ensure proper canopy management.
Grape___Black_rot,Remove mummified berries; apply fungicides such as myclobutanil.
Tomato___Septoria_leaf_spot,Apply fungicides like chlorothalonil; remove infected leaves.
Tomato___healthy,"Plant is healthy, no remedy required."
Strawberry___Leaf_scorch,Remove and destroy infected leaves; apply fungicides like captan.
Peach___Bacterial_spot,Use resistant varieties; apply copper-based bactericides.
Blueberry___healthy,"Plant is healthy, no remedy required."
Grape___healthy,"Plant is healthy, no remedy required."
Tomato___Tomato_mosaic_virus,Use virus-free seeds; practice good sanitation.
Apple___healthy,"Plant is healthy, no remedy required."
Corn_(maize)___healthy,"Plant is healthy, no remedy required."
Tomato___Spider_mites_Two-spotted_spider_mite,Introduce natural predators like ladybugs; use insecticidal soaps.
Apple___Apple_scab,Apply fungicides such as captan; plant resistant varieties.
Peach___healthy,"Plant is healthy, no remedy required."
Strawberry___healthy,"Plant is healthy, no remedy required."
Tomato___Leaf_Mold,Ensure good ventilation; apply fungicides like chlorothalonil.
"Pepper,_bell___healthy","Plant is healthy, no remedy required."
Tomato___Late_blight,Apply fungicides like metalaxyl; remove and destroy infected plants.
Raspberry___healthy,"Plant is healthy, no remedy required."
